,gender,SeniorCitizen,Dependents,tenure,PhoneService,MultipleLines,InternetService,Contract,MonthlyCharges
1702,1,0,0,21,1,1,1,0,104.4
4428,0,0,1,19,1,1,1,0,103.3
4808,1,0,0,54,1,0,0,2,80.6
3790,0,0,0,2,1,0,0,1,19.3
5722,1,1,0,27,1,1,1,0,104.3
4041,0,0,0,46,0,0,0,2,60.75
2094,1,0,0,18,1,0,0,0,19.65
2843,1,0,1,52,1,0,0,2,19.85
641,1,0,1,43,1,0,0,0,56.15
6140,1,0,0,3,1,0,0,0,19.95
3882,0,0,0,4,1,0,0,0,44.8
4405,0,0,1,6,1,0,1,0,83.55
297,0,1,0,35,1,1,1,0,100.8
303,1,0,1,68,0,0,0,2,60.3
2406,1,0,0,5,1,0,1,0,96.25
5816,1,0,0,3,1,0,0,0,44.6
3154,1,1,0,4,1,0,1,0,72.75
1839,1,0,0,4,1,1,0,2,25.3
4384,1,0,0,2,1,0,1,0,79.7
4306,0,0,1,40,1,1,1,0,110.1
655,0,0,0,10,1,0,1,0,95.1
4139,0,1,0,24,1,1,1,0,80.5
4686,1,1,0,72,1,1,1,2,107.4
4775,1,0,0,24,1,0,1,0,99.3
240,1,0,0,72,1,1,0,2,86.6
783,1,0,0,1,1,0,0,0,52.2
1354,1,0,0,18,1,1,1,0,88.35
1018,0,0,0,4,0,0,0,0,40.05
4912,0,1,0,36,1,1,1,0,90.85
977,1,0,0,11,1,1,1,0,75.25
809,0,0,0,1,1,0,1,0,69.55
6755,0,0,0,42,1,1,1,0,79.9
5036,1,1,0,16,1,1,1,0,85.35
257,0,0,0,50,1,1,1,1,114.35
893,1,0,0,1,0,0,0,0,24.6
5936,1,0,1,38,1,0,0,2,19.95
4366,0,1,1,24,1,1,1,0,79.85
3589,0,0,1,31,1,1,0,0,59.7
5162,0,0,1,8,1,0,0,0,19.45
5229,1,1,0,43,1,1,1,1,107.55
5167,1,0,0,57,1,0,0,2,70.35
3288,1,0,1,13,1,0,0,2,20.85
6698,0,0,0,40,1,0,1,1,89.6
2132,0,0,1,23,1,0,0,1,19.65
6243,1,0,1,72,1,1,0,2,83.6
5520,1,0,0,55,1,1,1,1,84.25
1357,0,0,0,48,1,1,1,0,111.45
1561,0,0,0,1,1,1,1,0,74.95
6054,1,0,1,36,1,1,1,0,97.35
2251,0,0,0,11,1,0,0,0,69.35
5474,1,0,0,1,1,1,1,0,84.6
2471,1,0,0,53,1,1,1,0,98.4
3133,0,0,0,70,0,0,0,1,51.05
2024,0,0,0,12,1,0,1,1,95.7
4687,0,0,0,22,1,0,1,0,94.7
2986,1,0,1,55,1,0,1,2,69.05
2042,1,1,0,28,1,1,0,0,64.45
4905,1,0,1,58,1,0,0,2,19.85
2876,0,0,0,19,1,0,0,1,19.7
2669,1,0,0,19,1,1,1,0,95.15
4756,0,0,0,31,1,0,0,0,72.45
5728,1,0,0,13,1,1,1,0,89.4
4098,0,0,0,1,1,0,0,0,20.2
7018,0,0,1,1,1,0,1,0,70.65
3806,1,1,0,18,1,0,1,0,73.55
6842,0,0,0,13,1,0,0,1,19.95
3475,1,0,1,2,1,0,0,1,20.3
1092,0,0,0,70,1,0,0,2,64.95
5867,0,1,0,44,1,0,0,2,19.35
124,1,0,1,4,1,0,0,0,20.85
4152,0,0,0,65,1,1,0,2,76.15
6882,1,1,0,71,1,1,1,1,99.65
4489,1,0,1,64,1,1,0,1,53.85
2922,1,0,0,28,1,0,1,0,92.35
2516,1,1,0,16,1,1,1,0,96.4
6038,1,0,1,70,1,1,1,2,114.2
1553,1,0,1,39,1,0,1,0,81.5
3482,0,0,0,19,1,0,0,0,45.0
2886,1,0,0,60,1,0,1,0,104.95
598,0,0,0,51,1,1,1,1,90.35
75,1,1,0,56,1,1,1,1,110.5
1339,0,0,0,66,1,1,1,0,105.0
1416,1,0,1,58,0,0,0,2,55.5
4772,1,0,1,69,1,0,0,1,59.1
1649,1,0,0,27,1,0,0,0,56.15
5652,1,0,0,1,1,0,0,0,48.6
3206,1,0,0,6,1,0,0,0,20.0
4024,1,0,0,7,0,0,0,0,25.05
2829,0,1,0,8,1,0,1,0,69.7
149,0,0,1,15,1,0,0,0,69.5
3001,0,0,0,9,1,0,0,0,20.4
1557,0,0,0,12,1,1,0,0,67.25
3931,1,0,0,25,1,0,0,0,71.05
453,1,0,1,28,1,0,1,0,81.05
4427,1,0,0,49,1,0,1,2,100.65
1832,0,1,0,57,0,0,0,0,44.85
3250,0,0,0,11,1,0,0,1,20.55
5663,1,0,1,37,1,1,1,0,95.25
808,0,0,0,40,1,1,1,0,101.3
2002,0,0,0,54,0,0,0,2,45.2
3353,0,0,0,12,1,0,1,0,85.05
3824,0,0,0,4,1,0,0,0,55.3
1671,0,0,1,66,1,0,1,1,103.15
1119,0,0,1,70,0,0,0,2,59.5
4353,1,0,0,1,1,0,1,0,74.9
810,0,0,0,58,1,1,1,1,103.25
1129,0,1,0,47,1,1,1,0,86.05
834,1,1,0,4,1,0,1,0,78.85
6124,1,0,1,57,1,0,0,1,59.3
5413,1,0,0,15,1,0,1,0,94.0
6732,1,0,0,24,1,1,1,0,89.55
1971,1,0,0,20,1,0,0,1,19.35
1235,0,1,0,61,1,1,1,1,98.3
1225,1,0,0,16,0,0,0,0,49.95
4051,1,0,0,72,1,1,1,2,97.7
2344,1,1,0,14,0,0,0,2,39.7
6227,0,0,0,2,1,0,0,0,46.05
4352,0,0,1,64,1,1,1,0,91.8
2273,0,0,0,30,1,0,0,1,19.8
1729,0,0,0,64,1,1,1,1,89.45
6785,0,0,0,61,1,1,1,2,111.6
2181,1,0,1,50,1,1,0,1,84.15
1027,1,0,0,47,1,1,1,1,94.9
3082,0,0,0,51,1,1,0,1,59.9
5205,1,0,0,37,1,1,1,0,91.2
349,1,1,0,64,1,0,1,1,97.0
452,0,0,0,60,0,0,0,0,60.2
662,0,0,0,1,1,0,0,0,20.05
172,0,0,0,14,1,0,0,2,81.95
1405,1,0,0,1,1,1,1,0,76.0
5857,1,0,1,17,1,1,1,0,88.25
4250,0,0,0,63,1,1,1,1,104.5
4550,1,0,1,72,1,1,0,2,26.25
422,0,0,1,29,1,1,1,1,100.55
3017,1,0,1,18,1,0,0,1,61.5
3326,0,1,0,38,1,0,0,1,70.15
881,0,1,0,26,1,0,0,1,19.3
3450,0,1,0,70,1,1,1,1,104.8
1253,1,0,0,7,1,0,1,0,79.3
6268,1,0,0,22,1,0,0,1,20.85
6210,1,0,1,25,1,0,0,1,54.75
2225,0,0,0,33,0,0,0,1,39.1
4121,0,1,0,27,1,1,1,0,95.55
6563,0,0,1,15,1,1,1,0,74.9
1905,1,0,0,41,1,1,0,1,24.85
102,0,0,0,38,1,1,1,1,95.0
3014,0,1,0,44,1,1,1,0,89.2
4301,0,0,1,66,1,0,0,2,19.75
6678,0,0,1,19,1,0,0,2,20.85
4269,0,0,0,17,1,1,1,0,90.2
2447,0,0,0,7,1,0,1,0,74.9
1580,1,1,0,21,1,1,0,1,71.7
3803,0,0,0,61,1,1,1,2,94.1
3481,1,0,0,4,1,1,0,0,50.7
4871,0,0,1,58,1,0,0,1,75.2
3877,1,0,1,21,0,0,0,1,55.95
5192,0,0,1,60,1,0,0,2,19.95
135,1,0,0,43,1,1,0,2,25.7
2521,0,1,0,36,1,1,1,0,85.25
4151,1,1,0,57,0,0,0,0,55.0
1918,0,0,0,24,1,0,0,0,54.95
6332,0,0,1,68,1,0,1,2,105.25
4697,0,0,0,72,1,0,1,0,94.65
4750,0,0,0,9,0,0,0,1,39.55
2666,0,0,1,66,1,0,0,2,79.5
5110,1,0,0,8,1,1,1,0,73.5
2925,1,0,1,50,1,0,1,1,103.05
3066,1,0,0,10,1,1,1,0,75.75
1789,0,0,0,54,0,0,0,0,30.4
5288,1,0,0,1,1,0,1,0,79.65
807,0,0,0,71,1,1,1,2,108.55
462,0,0,1,4,1,1,1,0,101.15
879,0,0,0,33,1,1,0,0,54.65
3248,0,1,0,10,1,1,1,0,86.65
4726,1,0,0,72,0,0,0,2,49.2
5680,1,1,0,1,1,0,0,0,20.85
6790,1,0,0,67,1,1,0,2,25.6
4377,1,0,0,22,1,0,1,0,80.0
799,0,0,0,62,1,1,1,1,96.75
354,1,1,0,21,0,0,0,0,41.9
3964,1,0,1,68,1,1,1,2,111.75
1073,0,0,0,7,1,1,1,0,98.05
3101,1,0,0,58,1,1,1,0,79.8
5594,1,0,1,23,1,1,1,0,83.75
144,0,1,0,71,1,1,0,2,23.95
380,1,0,0,41,1,0,1,1,86.2
1340,1,0,1,0,0,0,0,2,56.05
4168,0,0,0,61,0,0,0,2,62.15
6510,1,0,1,46,1,1,1,2,99.65
121,1,0,0,6,1,0,0,0,20.7
3745,0,0,0,7,1,0,1,0,94.25
3612,0,0,0,21,1,1,1,0,73.7
1360,1,1,0,13,1,1,1,0,95.05
418,1,0,1,22,1,0,1,0,83.3
6348,1,0,0,26,1,0,1,0,69.05
5546,0,0,0,4,0,0,0,0,42.4
1514,1,0,1,63,1,0,0,2,19.5
4184,0,1,0,5,1,1,1,0,79.9
5455,1,0,0,6,1,0,0,0,19.7
3100,1,0,0,55,1,1,1,0,94.45
2063,0,0,1,51,1,0,0,1,76.4
555,1,0,1,56,1,1,0,1,68.75
2312,0,0,0,18,1,0,0,1,20.1
3543,0,0,0,72,1,1,1,2,105.6
5440,1,0,1,19,1,0,0,0,49.6
1485,0,1,0,22,1,1,1,0,96.7
5017,1,0,0,41,0,0,0,1,35.45
1272,0,0,1,5,1,0,0,0,19.45
6598,1,0,0,57,1,0,0,2,74.3
1411,0,1,0,29,1,0,1,0,101.45
5076,1,0,1,33,1,0,1,1,93.8
6915,1,0,0,72,1,1,1,2,97.85
1471,0,0,0,31,1,1,1,0,88.65
2266,0,1,0,52,1,0,1,1,104.45
5503,0,0,1,35,1,0,0,1,20.05
5077,1,0,1,7,1,0,0,2,19.85
5635,1,0,0,22,1,0,0,0,54.7
4154,0,0,0,6,1,1,1,0,74.9
6679,1,0,0,60,0,0,0,2,37.7
3165,0,0,1,24,1,0,0,1,20.25
2436,1,1,0,31,1,0,1,0,73.55
2868,0,0,0,26,1,0,1,0,85.75
6612,0,0,1,1,1,0,1,0,69.9
981,0,0,1,40,1,0,0,2,19.6
5974,0,0,1,10,1,0,0,0,20.05
6063,1,0,1,70,1,0,0,2,19.2
3246,0,0,0,3,1,0,0,0,55.15
6207,0,1,0,46,1,0,1,0,85.0
1268,0,0,0,59,1,1,1,1,110.15
414,1,1,0,48,1,0,1,0,70.65
268,0,0,0,59,1,0,0,2,19.35
3127,1,0,0,29,0,0,0,0,30.6
654,1,1,0,8,1,0,0,0,19.65
3011,1,0,1,9,1,0,0,2,19.75
6394,1,0,0,8,1,0,0,1,58.2
2223,1,0,0,28,1,1,1,0,89.95
6989,1,0,1,20,1,1,0,1,76.0
2337,1,1,0,56,1,1,1,1,104.75
3541,1,0,0,49,0,0,0,0,40.65
773,1,0,0,5,1,0,1,0,88.9
2446,1,0,0,18,1,1,1,0,90.0
589,0,0,1,71,1,1,0,2,90.4
2907,0,0,0,20,1,0,1,0,89.0
2127,0,0,0,40,0,0,0,1,42.35
2996,1,0,0,18,1,1,0,0,60.6
3896,1,0,1,38,1,0,0,1,20.3
3038,1,1,0,67,1,1,1,1,105.6
6441,1,0,1,17,1,0,0,0,55.35
2465,0,0,0,1,0,0,0,0,35.25
3377,0,0,0,68,1,1,0,2,25.05
701,0,0,0,35,1,1,1,0,83.15
5845,1,0,0,3,1,1,1,0,75.8
2301,1,0,0,8,1,1,1,0,90.25
5121,0,0,0,29,1,1,0,1,70.9
677,1,0,0,2,0,0,0,0,34.7
6062,1,1,0,53,1,0,1,0,73.8
6607,0,0,1,1,0,0,0,0,25.3
2598,1,0,0,7,1,0,1,0,75.15
2345,1,0,1,4,1,0,0,0,20.05
4093,1,0,0,29,1,1,1,0,76.0
693,1,0,0,3,1,1,1,0,75.1
1513,1,1,0,1,0,0,0,0,25.8
6067,0,0,0,7,0,0,0,1,35.3
6105,1,0,0,52,1,1,1,1,111.25
6189,0,0,1,72,1,1,0,2,91.95
110,0,0,0,55,1,1,1,0,96.75
3852,0,0,0,1,1,0,0,0,19.65
6474,1,0,0,6,1,0,0,2,19.55
6270,1,0,1,29,1,0,0,2,20.2
2131,0,0,1,42,0,0,0,2,48.15
4085,1,0,0,30,0,0,0,1,40.35
1919,0,0,0,1,1,0,0,0,50.9
856,0,0,0,72,1,1,0,2,86.05
3408,1,0,0,4,1,0,0,0,50.7
5950,0,0,1,1,0,0,0,0,24.7
6554,1,0,0,1,1,0,1,0,68.65
2510,0,0,0,1,1,1,1,0,74.25
6897,0,0,0,62,1,0,0,0,80.4
4169,1,0,0,15,1,0,1,0,101.25
4392,0,0,1,1,1,0,0,0,19.2
1758,1,0,0,68,1,0,0,2,20.05
3337,1,0,0,7,1,1,1,0,75.35
3203,1,0,0,72,1,1,0,2,88.05
605,0,0,0,72,1,1,0,2,86.65
6986,1,0,0,30,1,1,1,0,94.1
3034,0,0,0,1,1,1,1,0,84.5
6691,1,0,0,39,0,0,0,1,41.15
1468,0,0,0,62,1,1,1,1,92.3
5178,1,0,0,53,1,1,1,1,108.95
2812,0,0,0,66,1,1,1,1,104.05
6171,1,1,1,59,1,1,1,0,88.75
5079,0,0,0,15,1,1,1,0,95.7
2921,0,0,0,9,1,1,1,0,95.5
107,1,0,0,32,0,0,0,1,30.15
29,1,0,1,17,1,0,0,0,64.7
3780,0,0,1,55,1,0,0,2,55.25
3150,0,0,0,17,0,0,0,0,25.65
3616,1,1,0,69,1,0,1,1,87.3
5346,0,0,0,66,1,1,0,2,74.6
4940,0,1,0,16,1,1,1,0,74.45
751,0,0,1,70,1,0,0,2,80.15
3168,1,0,0,50,1,0,0,1,19.35
584,1,0,0,3,1,0,0,0,20.0
1220,0,0,0,17,1,1,0,0,65.75
5040,0,0,1,20,1,1,1,0,96.8
6614,0,0,1,71,1,0,0,2,19.7
3274,1,0,0,34,1,0,1,0,105.1
6053,1,0,1,43,1,1,0,2,25.1
548,0,1,0,50,1,1,1,1,101.9
5448,1,0,1,41,1,1,1,1,101.6
6921,0,0,0,54,1,1,1,0,79.85
2874,1,0,0,64,1,0,0,2,19.45
6548,0,0,1,31,1,0,0,0,54.35
3715,0,1,0,11,1,0,1,0,78.5
2291,1,0,0,4,1,1,1,0,85.65
6783,1,0,1,21,0,0,0,2,53.15
6887,1,0,1,35,1,1,0,2,24.3
3396,1,0,1,58,1,0,1,1,99.25
4945,0,0,1,20,1,0,0,2,20.05
1203,1,0,0,60,1,1,0,2,25.0
344,1,0,1,41,1,0,0,1,20.25
4328,1,0,0,15,1,1,0,0,51.1
5907,0,0,0,1,1,0,0,0,44.3
1575,0,0,0,66,1,0,1,0,99.5
2900,1,1,1,1,1,0,1,0,69.25
6604,0,0,1,2,1,0,0,0,44.5
3047,1,0,0,32,1,0,1,0,84.15
3131,1,1,0,72,1,1,0,2,78.45
5853,0,0,0,62,1,1,1,1,96.1
4072,0,1,0,9,1,0,1,0,79.55
2173,0,0,0,4,1,0,1,0,86.05
90,0,0,1,30,1,0,1,0,82.05
7006,0,0,0,40,1,1,1,0,104.5
5487,0,0,1,33,1,0,0,1,20.15
4383,0,0,0,63,1,1,0,1,80.0
2252,1,0,1,64,1,0,0,1,19.8
6696,0,0,0,5,1,1,1,0,96.55
624,1,0,0,7,1,0,0,0,20.0
69,0,0,0,10,1,0,1,0,79.85
889,1,0,1,63,1,1,1,0,100.55
4845,0,0,1,20,0,0,0,2,39.4
5340,1,0,0,38,1,1,0,1,84.1
5274,1,1,0,66,1,1,1,1,108.1
6868,0,0,0,13,1,0,1,0,91.1
3921,1,0,0,24,1,1,0,0,66.3
5072,0,1,0,23,1,1,1,0,104.45
947,1,1,1,32,1,1,1,0,91.35
877,1,0,1,51,0,0,0,1,60.15
6806,1,0,0,40,1,0,0,2,19.1
6575,1,0,0,22,1,1,0,0,59.05
2462,0,0,1,1,1,0,0,0,70.45
293,1,1,0,6,1,0,1,0,89.35
5446,0,0,0,1,1,0,0,0,19.65
3091,1,0,0,4,1,0,0,1,20.5
445,1,0,0,60,1,1,1,0,105.9
4020,0,1,0,72,0,0,0,2,64.95
1961,1,0,0,42,1,1,0,1,60.15
2846,1,0,0,2,1,0,0,0,62.15
3614,0,0,0,69,0,0,0,2,60.25
1880,0,0,0,2,1,1,1,0,86.0
5186,1,1,0,1,0,0,0,0,36.45
4690,0,0,0,31,1,0,0,0,66.4
3570,0,0,1,16,1,0,0,2,20.5
4917,1,0,0,15,1,0,0,0,19.6
4678,1,0,1,2,1,1,1,0,94.2
5213,1,1,0,17,1,1,1,0,92.55
5030,0,0,1,6,1,0,1,0,94.5
4922,1,0,1,61,1,1,0,0,59.8
367,1,0,0,1,1,0,0,0,19.15
5243,0,0,0,19,1,0,1,1,87.7
5331,0,0,1,44,0,0,0,2,54.05
2540,1,0,0,70,1,1,1,2,111.95
6316,0,0,1,63,1,1,0,2,25.25
3392,1,0,1,58,1,0,0,1,44.1
6923,1,0,0,53,1,1,0,1,74.1
6455,0,0,0,59,0,0,0,0,44.3
4684,0,0,0,69,1,0,1,1,104.05
3105,0,0,0,26,1,0,0,0,49.15
3279,0,0,1,23,1,0,0,1,57.2
3720,1,0,0,42,1,0,0,0,54.55
4541,1,1,0,1,1,1,0,0,50.55
4965,1,0,0,6,0,0,0,0,47.95
4581,0,0,0,58,1,0,0,2,20.8
3871,0,0,0,3,1,1,1,0,101.55
5020,1,0,0,41,1,0,0,2,19.85
1186,1,0,0,58,1,1,0,1,61.05
3428,0,1,0,51,1,1,1,0,93.8
5004,1,0,0,64,1,1,1,0,111.15
3866,1,0,1,19,1,1,0,2,25.6
6827,0,0,1,60,1,0,0,0,79.05
5349,0,0,1,69,1,1,1,2,114.35
6888,1,0,1,3,1,0,1,0,80.7
151,0,0,0,7,1,1,1,0,95.0
1858,1,0,0,19,1,0,1,0,73.2
2464,1,0,0,1,1,1,1,0,77.15
1033,1,0,0,62,1,1,0,2,23.65
1383,1,0,0,1,1,1,0,0,49.95
915,0,1,0,1,1,1,1,0,73.55
1305,1,0,0,28,1,0,0,0,59.55
6682,0,0,0,69,1,1,1,2,92.45
3098,0,1,0,30,1,0,1,0,79.65
4983,1,1,0,40,0,0,0,0,39.3
509,1,0,0,1,1,0,0,0,19.85
5894,0,0,0,45,1,1,1,0,100.85
5963,0,0,1,22,1,1,0,1,78.65
6049,1,0,1,47,1,0,0,2,20.05
2647,1,0,0,2,1,0,0,0,20.0
5799,1,0,0,13,0,0,0,0,35.1
6022,1,0,0,20,1,0,0,0,18.9
748,0,0,0,48,1,0,0,2,19.25
2304,0,0,0,67,1,0,1,1,100.9
4076,0,0,0,70,1,1,1,2,99.35
5410,1,0,0,64,1,0,1,2,99.0
1310,1,0,0,34,1,1,1,0,97.65
1611,1,0,0,72,1,1,0,2,90.95
6988,1,0,1,23,1,1,0,0,69.5
911,1,1,0,15,1,1,1,0,89.0
2673,0,0,0,22,1,1,1,0,101.35
2499,0,0,1,41,1,0,0,1,70.2
3089,1,0,0,68,1,0,0,2,82.45
5200,1,0,1,70,1,1,1,1,106.5
5096,0,0,1,71,1,1,0,2,86.85
2680,0,0,1,71,1,0,0,2,85.45
2126,0,0,0,1,1,0,0,0,44.45
471,0,0,0,1,1,0,0,0,55.0
967,0,0,1,3,1,0,0,0,20.85
7013,1,0,0,40,1,1,1,0,93.4
4056,1,0,0,3,0,0,0,0,50.6
4602,1,0,0,67,1,1,0,2,26.1
5873,1,0,0,18,1,0,1,0,75.4
6648,1,0,1,20,1,0,0,0,20.05
3815,1,0,0,3,1,1,1,0,74.25
896,0,0,0,71,1,1,1,2,116.1
5329,1,0,0,25,0,0,0,0,34.0
4284,1,1,0,32,1,0,1,0,90.95
5785,0,0,1,46,1,0,0,2,20.2
1773,1,0,1,68,1,0,0,2,19.35
3307,1,0,1,48,1,1,0,2,79.65
251,1,0,1,2,1,0,1,0,70.4
1209,0,0,0,56,1,1,1,1,93.15
2688,0,0,0,5,1,1,1,0,78.75
3885,1,0,0,3,1,1,1,0,74.95
2937,1,0,1,64,1,1,1,1,92.85
3071,0,0,1,47,1,1,0,2,90.5
4605,0,0,0,63,1,1,0,2,67.25
1128,0,0,0,27,1,0,0,0,19.4
2890,1,1,1,47,1,0,1,0,70.55
4479,1,0,0,59,1,1,0,2,24.45
1593,0,0,1,4,1,0,0,0,18.85
2603,1,0,0,72,1,1,1,2,114.9
3607,1,0,0,13,1,0,0,1,55.15
57,0,1,1,66,1,1,1,1,108.45
1699,1,0,0,42,1,0,0,1,20.65
1322,1,0,0,10,1,0,0,0,19.95
176,1,1,0,15,1,1,1,0,74.45
3182,1,0,0,45,1,0,1,2,95.2
6116,1,0,0,48,1,1,0,1,73.85
2995,1,0,0,1,0,0,0,0,25.25
6997,1,0,0,27,1,0,1,0,76.1
6155,0,0,0,5,1,0,0,0,19.35
292,0,0,1,23,1,0,1,1,86.8
1142,0,1,1,11,1,1,1,0,75.2
2328,1,1,0,35,1,1,1,0,102.05
3728,0,0,0,67,1,1,0,1,88.8
183,0,0,1,33,1,0,0,1,74.75
1170,0,0,1,72,1,1,1,2,114.0
4838,1,0,0,67,1,1,1,1,109.7
5649,1,0,0,33,1,0,0,0,20.05
5332,1,0,0,47,1,0,0,1,58.9
5931,0,1,0,13,1,0,1,0,98.0
5737,0,0,1,18,1,0,0,0,83.25
3523,1,0,0,72,1,1,1,2,112.1
1086,1,1,0,11,1,0,1,0,89.7
2781,0,1,0,7,0,0,0,0,44.4
4112,1,0,0,59,1,1,1,0,99.45
1172,1,1,1,32,1,1,1,0,100.4
2470,1,0,0,67,1,1,0,2,25.25
3661,1,0,0,51,1,0,1,1,87.55
2166,1,1,0,59,1,1,1,1,94.05
5761,1,0,1,48,0,0,0,2,39.4
2133,1,1,0,1,1,0,1,0,70.55
7005,0,0,0,23,1,0,0,1,19.3
4458,0,0,1,38,1,1,1,0,94.65
4731,0,0,1,19,1,0,0,1,19.9
2589,0,1,0,3,1,1,1,0,76.05
4050,0,1,0,58,1,1,1,0,98.9
2183,0,0,0,2,1,0,0,0,50.2
3114,0,0,0,5,1,0,0,0,75.15
1956,1,0,0,72,1,1,1,2,101.3
613,1,1,0,44,1,1,1,1,109.8
3528,0,0,0,16,1,0,0,0,19.7
2944,0,0,0,12,0,0,0,0,50.95
6878,1,0,0,6,1,0,1,0,89.5
3734,1,1,0,72,1,1,1,2,108.1
1430,1,0,0,23,1,1,0,1,24.8
4815,0,0,0,38,1,0,1,1,70.45
1876,0,0,0,47,1,1,1,1,95.2
1748,1,0,0,54,1,0,0,2,20.05
6347,0,0,0,15,1,0,1,0,68.6
505,1,1,0,20,1,1,1,0,94.1
415,1,0,1,16,1,0,1,0,73.25
6924,0,0,0,1,1,0,1,0,69.35
272,0,0,0,1,0,0,0,0,24.8
2942,0,0,0,46,1,0,0,2,19.95
1706,0,0,0,69,1,1,1,2,97.65
5901,0,0,1,49,1,1,1,0,84.5
4557,0,0,0,53,0,0,0,1,54.9
2807,0,0,1,7,1,0,0,1,19.45
6142,1,0,0,42,1,1,0,0,50.25
5887,0,0,1,17,1,0,0,0,50.3
2441,1,1,0,2,1,0,1,0,81.5
106,1,0,1,72,1,1,1,1,104.15
